"filename", "language", "JSON", "TypeScript", "Pug", "JSON with Comments", "JavaScript", "comment", "blank", "total"
"d:\Lenovo\Documents\Project2CP\dist\serverOnline.js", "JavaScript", 0, 0, 0, 0, 49, 8, 0, 57
"d:\Lenovo\Documents\Project2CP\dist\utils\APIFeatures.js", "JavaScript", 0, 0, 0, 0, 22, 60, 0, 82
"d:\Lenovo\Documents\Project2CP\dist\utils\appError.js", "JavaScript", 0, 0, 0, 0, 15, 1, 0, 16
"d:\Lenovo\Documents\Project2CP\dist\utils\catchAsync.js", "JavaScript", 0, 0, 0, 0, 7, 3, 0, 10
"d:\Lenovo\Documents\Project2CP\dist\utils\email.js", "JavaScript", 0, 0, 0, 0, 73, 79, 0, 152
"d:\Lenovo\Documents\Project2CP\dist\views\_footer.pug", "Pug", 0, 0, 10, 0, 0, 0, 1, 11
"d:\Lenovo\Documents\Project2CP\dist\views\_header.pug", "Pug", 0, 0, 14, 0, 0, 0, 1, 15
"d:\Lenovo\Documents\Project2CP\dist\views\_reviewCard.pug", "Pug", 0, 0, 10, 0, 0, 0, 1, 11
"d:\Lenovo\Documents\Project2CP\dist\views\account.pug", "Pug", 0, 0, 55, 0, 0, 0, 5, 60
"d:\Lenovo\Documents\Project2CP\dist\views\base.pug", "Pug", 0, 0, 20, 0, 0, 8, 4, 32
"d:\Lenovo\Documents\Project2CP\dist\views\emails\_style.pug", "Pug", 0, 0, 258, 0, 0, 0, 0, 258
"d:\Lenovo\Documents\Project2CP\dist\views\emails\baseEmail.pug", "Pug", 0, 0, 36, 0, 0, 3, 6, 45
"d:\Lenovo\Documents\Project2CP\dist\views\emails\passwordReset.pug", "Pug", 0, 0, 6, 0, 0, 0, 2, 8
"d:\Lenovo\Documents\Project2CP\dist\views\emails\verifyEmail.pug", "Pug", 0, 0, 17, 0, 0, 0, 1, 18
"d:\Lenovo\Documents\Project2CP\dist\views\emails\welcome.pug", "Pug", 0, 0, 16, 0, 0, 0, 1, 17
"d:\Lenovo\Documents\Project2CP\dist\views\error.pug", "Pug", 0, 0, 8, 0, 0, 0, 1, 9
"d:\Lenovo\Documents\Project2CP\dist\views\login.pug", "Pug", 0, 0, 14, 0, 0, 0, 1, 15
"d:\Lenovo\Documents\Project2CP\dist\views\overview.pug", "Pug", 0, 0, 41, 0, 0, 0, 5, 46
"d:\Lenovo\Documents\Project2CP\dist\views\tour.pug", "Pug", 0, 0, 76, 0, 0, 1, 16, 93
"d:\Lenovo\Documents\Project2CP\nodemon.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 5
"d:\Lenovo\Documents\Project2CP\package.json", "JSON", 66, 0, 0, 0, 0, 0, 1, 67
"d:\Lenovo\Documents\Project2CP\src\app.ts", "TypeScript", 0, 55, 0, 0, 0, 12, 9, 76
"d:\Lenovo\Documents\Project2CP\src\controller\applicationController.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 3, 33
"d:\Lenovo\Documents\Project2CP\src\controller\applicationController\applyPost.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 8, 59
"d:\Lenovo\Documents\Project2CP\src\controller\applicationController\checkOwnerApplication.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 5, 62
"d:\Lenovo\Documents\Project2CP\src\controller\applicationController\getMyApplications.ts", "TypeScript", 0, 27, 0, 0, 0, 13, 10, 50
"d:\Lenovo\Documents\Project2CP\src\controller\applicationController\getMyPostsApplications.ts", "TypeScript", 0, 10, 0, 0, 0, 10, 5, 25
"d:\Lenovo\Documents\Project2CP\src\controller\applicationController\updateApplication.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 4, 33
"d:\Lenovo\Documents\Project2CP\src\controller\authController.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 4, 47
"d:\Lenovo\Documents\Project2CP\src\controller\authController\createAndSendToken.ts", "TypeScript", 0, 23, 0, 0, 0, 14, 2, 39
"d:\Lenovo\Documents\Project2CP\src\controller\authController\forgotPassword.ts", "TypeScript", 0, 36, 0, 0, 0, 18, 8, 62
"d:\Lenovo\Documents\Project2CP\src\controller\authController\isLoggedIn.ts", "TypeScript", 0, 47, 0, 0, 0, 4, 7, 58
"d:\Lenovo\Documents\Project2CP\src\controller\authController\login.ts", "TypeScript", 0, 34, 0, 0, 0, 1, 5, 40
"d:\Lenovo\Documents\Project2CP\src\controller\authController\logout.ts", "TypeScript", 0, 8, 0, 0, 0, 3, 1, 12
"d:\Lenovo\Documents\Project2CP\src\controller\authController\protect.ts", "TypeScript", 0, 41, 0, 0, 0, 51, 6, 98
"d:\Lenovo\Documents\Project2CP\src\controller\authController\resendEmailVerification.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 10, 54
"d:\Lenovo\Documents\Project2CP\src\controller\authController\resetPassword.ts", "TypeScript", 0, 32, 0, 0, 0, 6, 7, 45
"d:\Lenovo\Documents\Project2CP\src\controller\authController\restrictTo.ts", "TypeScript", 0, 16, 0, 0, 0, 3, 4, 23
"d:\Lenovo\Documents\Project2CP\src\controller\authController\signup.ts", "TypeScript", 0, 57, 0, 0, 0, 4, 10, 71
"d:\Lenovo\Documents\Project2CP\src\controller\authController\signupAsWorker.ts", "TypeScript", 0, 126, 0, 0, 0, 21, 7, 154
"d:\Lenovo\Documents\Project2CP\src\controller\authController\switchRole.ts", "TypeScript", 0, 39, 0, 0, 0, 9, 4, 52
"d:\Lenovo\Documents\Project2CP\src\controller\authController\updateEmail.ts", "TypeScript", 0, 26, 0, 0, 0, 26, 5, 57
"d:\Lenovo\Documents\Project2CP\src\controller\authController\updatePassword.ts", "TypeScript", 0, 26, 0, 0, 0, 6, 5, 37
"d:\Lenovo\Documents\Project2CP\src\controller\authController\verifyEmail.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 7, 40
"d:\Lenovo\Documents\Project2CP\src\controller\authController\verifyWorkerSignup.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 3, 20
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\applicationDashboard.ts", "TypeScript", 0, 87, 0, 0, 0, 14, 19, 120
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\certificateDashboard.ts", "TypeScript", 0, 55, 0, 0, 0, 1, 6, 62
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\dashboard1model.ts", "TypeScript", 0, 160, 0, 0, 0, 22, 24, 206
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\dashboard2models.ts", "TypeScript", 0, 182, 0, 0, 0, 30, 22, 234
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\dashboard3models.ts", "TypeScript", 0, 179, 0, 0, 0, 30, 22, 231
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\dealDashboard.ts", "TypeScript", 0, 52, 0, 0, 0, 3, 6, 61
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\generalDonutChart.ts", "TypeScript", 0, 64, 0, 0, 0, 66, 12, 142
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\postDashboard.ts", "TypeScript", 0, 40, 0, 0, 0, 9, 7, 56
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\reviewDashboard.ts", "TypeScript", 0, 41, 0, 0, 0, 3, 7, 51
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\test.ts", "TypeScript", 0, 0, 0, 0, 0, 59, 1, 60
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\userDashboard.ts", "TypeScript", 0, 48, 0, 0, 0, 3, 7, 58
"d:\Lenovo\Documents\Project2CP\src\controller\dashboardController\workerDashboard.ts", "TypeScript", 0, 64, 0, 0, 0, 3, 9, 76
"d:\Lenovo\Documents\Project2CP\src\controller\dealController.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 2, 35
"d:\Lenovo\Documents\Project2CP\src\controller\dealController\checkOwnerDeal.ts", "TypeScript", 0, 40, 0, 0, 0, 2, 5, 47
"d:\Lenovo\Documents\Project2CP\src\controller\dealController\createDeal.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 7, 52
"d:\Lenovo\Documents\Project2CP\src\controller\dealController\finishDeal.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 9, 52
"d:\Lenovo\Documents\Project2CP\src\controller\dealController\getMyDeals.ts", "TypeScript", 0, 36, 0, 0, 0, 14, 6, 56
"d:\Lenovo\Documents\Project2CP\src\controller\dealController\updateDeal.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 3, 33
"d:\Lenovo\Documents\Project2CP\src\controller\errorController.ts", "TypeScript", 0, 76, 0, 0, 0, 26, 15, 117
"d:\Lenovo\Documents\Project2CP\src\controller\handlerFactory.ts", "TypeScript", 0, 65, 0, 0, 0, 16, 9, 90
"d:\Lenovo\Documents\Project2CP\src\controller\portfolioPostController.ts\checkOwnerPortfolioPost.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 2, 21
